comment,FilePath,preId,id,zh-cn,en-us
"t('addUpdate.xuanZeShangJi')","../src/views/system/menu/addUpdate.vue:218","addUpdate","xuanZeShangJi","选择上级菜单","en"
"t('addUpdate.caiDanLeiXing1')","../src/views/system/menu/addUpdate.vue:224","addUpdate","caiDanLeiXing1","菜单类型","en"
"t('addUpdate.muLu')","../src/views/system/menu/addUpdate.vue:226","addUpdate","muLu","目录","en"
"t('addUpdate.caiDan')","../src/views/system/menu/addUpdate.vue:227","addUpdate","caiDan","菜单","en"
"t('addUpdate.anNiu')","../src/views/system/menu/addUpdate.vue:228","addUpdate","anNiu","按钮","en"
"t('addUpdate.caiDanTuBiao')","../src/views/system/menu/addUpdate.vue:233","addUpdate","caiDanTuBiao","菜单图标","en"
"t('addUpdate.dianJiXuanZe')","../src/views/system/menu/addUpdate.vue:244","addUpdate","dianJiXuanZe","点击选择图标","en"
"t('addUpdate.muLuMingCheng')","../src/views/system/menu/addUpdate.vue:273","addUpdate","muLuMingCheng","目录名称","en"
"t('addUpdate.caiDanMingCheng1')","../src/views/system/menu/addUpdate.vue:275","addUpdate","caiDanMingCheng1","菜单名称","en"
"t('addUpdate.anNiuMingCheng')","../src/views/system/menu/addUpdate.vue:276","addUpdate","anNiuMingCheng","按钮名称","en"
"t('addUpdate.qingShuRuCai')","../src/views/system/menu/addUpdate.vue:280","addUpdate","qingShuRuCai","请输入菜单名称","en"
"t('addUpdate.xianShiPaiXu')","../src/views/system/menu/addUpdate.vue:284","addUpdate","xianShiPaiXu","显示排序","en"
"t('addUpdate.qingShuRuQuan')","../src/views/system/menu/addUpdate.vue:297","addUpdate","qingShuRuQuan","请输入权限标识","en"
"t('addUpdate.qingShuRuYe')","../src/views/system/menu/addUpdate.vue:297","addUpdate","qingShuRuYe","请输入页面路径","en"
"t('addUpdate.anNiuKongZhi')","../src/views/system/menu/addUpdate.vue:304","addUpdate","anNiuKongZhi","按钮控制器中定义的权限字符，如：v-permission='system:role:add'","en"
